episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,37,0,0.02067576895883972,389,1.808548927307129,False
1,44,0,0.018383316006930803,296,0.7148830890655518,False
2,32,0,0.013908806604158963,202,0.029859542846679688,False
3,36,0,0.022416616572442847,359,1.5619826316833496,False
4,36,0,0.018402656896949563,290,0.530611515045166,False
5,38,0,0.015423987640260522,261,0.3038809299468994,False
6,35,0,0.01591680963860025,312,0.8852427005767822,False
7,36,0,0.02836038569366437,366,1.484046220779419,False
8,43,0,0.016396060070839713,402,2.03535532951355,False
9,37,0,0.01773127777488763,361,1.557096242904663,False
10,43,0,0.02829262894076163,277,0.5145092010498047,False
11,42,0,0.02357880508657581,354,1.2203638553619385,False
12,43,0,0.016241399697424046,251,0.1698620319366455,False
13,42,0,0.025995524609400467,428,2.0155186653137207,False
14,37,0,0.013449823143708024,255,0.2029571533203125,False
15,39,0,0.01960255246284346,237,0.03461575508117676,False
16,47,0,0.018728448297728028,287,0.5934252738952637,False
17,37,0,0.017884669452622574,486,3.0081069469451904,False
18,39,0,0.024115607681631335,241,0.04456329345703125,False
19,43,0,0.013214825862234783,250,0.18511486053466797,False
20,40,0,0.021659146940980215,304,0.7313921451568604,False
21,41,0,0.02827627181315825,307,0.80832839012146,False
22,42,0,0.016345948660182113,256,0.18642926216125488,False
23,37,0,0.025423688781553645,323,1.0254695415496826,False
24,39,0,0.015162582491056079,251,0.1941065788269043,False
25,40,0,0.015020178595344623,258,0.27553796768188477,False
26,38,0,0.013666143500987018,231,0.03425121307373047,False
27,41,0,0.02309295193291737,229,0.03283977508544922,False
28,40,0,0.0319561178523749,346,1.1030535697937012,False
29,44,0,0.02516565752990209,319,0.8815839290618896,False
