episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,40,0,0.02366081775760697,387,1.4461166858673096,False
1,36,0,0.0172547514821334,339,0.9187588691711426,False
2,44,0,0.02904201198325288,307,0.7590751647949219,False
3,34,0,0.016069201133183678,320,0.6014490127563477,False
4,44,0,0.01724923618120632,230,0.036789655685424805,False
5,44,0,0.016572303195797045,247,0.21943974494934082,False
6,43,0,0.033167488908143826,324,0.5661780834197998,False
7,42,0,0.01426227392868844,256,0.2756989002227783,False
8,39,0,0.029397206457014213,361,0.8911592960357666,False
9,37,0,0.030857710110247714,416,1.7322640419006348,False
10,40,0,0.01727139279998528,280,0.6680698394775391,False
11,43,0,0.02194930270254078,284,0.34792637825012207,False
12,47,0,0.020242427252109684,305,0.7141931056976318,False
13,39,0,0.023947839324157956,337,0.826862096786499,False
14,44,0,0.021380995428861432,353,0.9303832054138184,False
15,44,0,0.01915557956604729,318,0.6335124969482422,False
16,45,0,0.01734254884797419,330,1.020007610321045,False
17,36,0,0.012559847204439015,226,0.036612510681152344,False
18,43,0,0.017873675945691322,326,0.8326799869537354,False
19,38,0,0.01818297021653431,479,2.5433363914489746,False
20,38,0,0.02117659094361738,489,2.6547200679779053,False
21,34,0,0.029962705245248793,351,1.4134910106658936,False
22,44,0,0.019627922684187213,287,0.5523784160614014,False
23,42,0,0.021685182354104514,302,0.9003362655639648,False
24,46,0,0.017175605412482385,269,0.4223952293395996,False
25,38,0,0.022765721339433463,281,0.4002199172973633,False
26,43,0,0.012391624616454698,229,0.038239240646362305,False
27,38,0,0.02615288779171826,313,0.784214973449707,False
28,34,0,0.01589553962980765,269,0.17018556594848633,False
29,39,0,0.016163711755631326,291,0.3618912696838379,False
