episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,45,0,0.019702892930896575,246,0.11846113204956055,False
1,47,0,0.015261859502335067,261,0.20358490943908691,False
2,41,0,0.012004311583847007,189,0.029252290725708008,False
3,44,0,0.025352647846126557,362,1.250837802886963,False
4,41,0,0.031198287000102944,375,1.2532479763031006,False
5,38,0,0.015673554475613007,295,0.5215604305267334,False
6,37,0,0.026070808476249922,421,1.7027177810668945,False
7,46,0,0.020693029215079463,323,0.9475722312927246,False
8,40,0,0.012834937680398052,238,0.04110360145568848,False
9,40,0,0.012763804396252965,229,0.03913259506225586,False
10,41,0,0.022491094496870458,265,0.3313636779785156,False
11,41,0,0.016205433507085983,272,0.47774314880371094,False
12,40,0,0.018802206732787353,474,1.9776043891906738,False
13,40,0,0.014322485642384374,240,0.04726147651672363,False
14,43,0,0.013708113884196377,227,0.0327153205871582,False
15,40,0,0.01654016723023514,330,0.7590110301971436,False
16,46,0,0.020672634955512578,274,0.25557994842529297,False
17,42,0,0.014963417314984729,290,0.4525899887084961,False
18,42,0,0.016148311070367277,310,0.46631669998168945,False
19,38,0,0.012294054302153173,215,0.03244614601135254,False
20,47,0,0.015155688509975333,251,0.1178579330444336,False
21,37,0,0.025054654276100957,311,0.5338578224182129,False
22,38,0,0.020362444611561406,357,0.8145384788513184,False
23,39,0,0.01799108889916476,368,0.8059124946594238,False
24,44,0,0.012963368432365204,235,0.036933183670043945,False
25,40,0,0.016855192438977547,429,1.1573104858398438,False
26,36,0,0.01975100015767886,394,1.300050973892212,False
27,37,0,0.011829855095819854,193,0.02812051773071289,False
28,43,0,0.017055108099637405,241,0.04834556579589844,False
29,41,0,0.029097625249246993,367,1.150679111480713,False
