episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,42,0,0.01942989204894605,228,0.037261962890625,False
1,35,0,0.018911032439623353,387,1.7554917335510254,False
2,44,0,0.021741634098130014,350,1.3277759552001953,False
3,34,0,0.023409274974510758,353,1.0154595375061035,False
4,35,0,0.03135308704779667,310,0.804598331451416,False
5,44,0,0.018886663510936475,302,0.617140531539917,False
6,43,0,0.017109896542274936,251,0.17169547080993652,False
7,41,0,0.023247668301525887,396,1.7095437049865723,False
8,48,0,0.0275348640537928,326,0.8959884643554688,False
9,41,0,0.03249541273063347,387,1.766251564025879,False
10,43,0,0.022462187816253042,413,1.9944357872009277,False
11,43,0,0.02027770273745126,390,1.6395838260650635,False
12,37,0,0.017624311823906988,299,0.6877331733703613,False
13,40,0,0.02320932374846095,273,0.4718973636627197,False
14,41,0,0.01848298291509394,345,1.2109200954437256,False
15,39,0,0.02007129921506984,260,0.3018074035644531,False
16,34,0,0.02016841913208421,432,1.983802080154419,False
17,40,0,0.029973986678795084,480,2.605915069580078,False
18,39,0,0.01652406564014374,212,0.031295061111450195,False
19,49,0,0.034570720837753505,286,0.596447229385376,False
20,40,0,0.02715162638000795,292,0.6694796085357666,False
21,41,0,0.023155189206632187,289,0.5874993801116943,False
22,40,0,0.022615647201051498,305,0.7297601699829102,False
23,39,0,0.017640433639447273,304,0.8917181491851807,False
24,36,0,0.02092791056158724,372,1.51591157913208,False
25,42,0,0.031128051878161814,371,1.6935791969299316,False
26,49,0,0.03368956802568701,444,2.2678725719451904,False
27,45,0,0.03355160896573138,400,1.4694151878356934,False
28,44,0,0.023267888943571388,217,0.03500771522521973,False
29,44,0,0.02548805981745352,361,1.2004749774932861,False
