episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,50,0,0.034649284026052454,322,0.9725418090820312,False
1,47,0,0.021961613916258855,286,0.545379638671875,False
2,37,0,0.022186542627383076,273,0.5600230693817139,False
3,44,0,0.018038972100433575,257,0.20760226249694824,False
4,39,0,0.016060460400139375,281,0.4949986934661865,False
5,34,0,0.02484747149495075,322,0.9338655471801758,False
6,36,0,0.02482450326999182,373,1.4165477752685547,False
7,36,0,0.018784169383205953,247,0.1700899600982666,False
8,37,0,0.020936887437973405,425,1.8094663619995117,False
9,34,0,0.02002973134009909,313,0.7819473743438721,False
10,36,0,0.023089361816156104,288,0.4515705108642578,False
11,49,0,0.018518072853801866,311,0.7541320323944092,False
12,39,0,0.017956301880760688,336,0.8434293270111084,False
13,41,0,0.022466653783929022,267,0.3574044704437256,False
14,40,0,0.01778842226087463,232,0.0341489315032959,False
15,39,0,0.02087277503841528,266,0.32091236114501953,False
16,44,0,0.016537294684870342,267,0.31127095222473145,False
17,42,0,0.01572102445751714,252,0.18500065803527832,False
18,43,0,0.022493791665510566,254,0.2282090187072754,False
19,46,0,0.016729292818201843,225,0.04081988334655762,False
20,41,0,0.024191313321911802,347,0.8833279609680176,False
21,33,0,0.017969265439954873,474,2.175975799560547,False
22,34,0,0.019591843921661554,386,1.2709970474243164,False
23,34,0,0.012660699368521969,184,0.027382373809814453,False
24,39,0,0.017390460109314727,251,0.11228346824645996,False
25,41,0,0.022915757356734498,553,2.8486523628234863,False
26,36,0,0.023167365690981337,301,0.5277206897735596,False
27,49,0,0.016932095479325192,314,0.701167106628418,False
28,40,0,0.02614488249949911,293,0.4223630428314209,False
29,41,0,0.02109044334954376,291,0.4016458988189697,False
