episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,27,0,0.01853839158083017,355,1.1490099430084229,False
1,27,0,0.01573910150357719,279,0.4084768295288086,False
2,24,0,0.021056831676781802,393,1.4457268714904785,False
3,26,0,0.020834716564084425,288,0.39967823028564453,False
4,21,0,0.015121926355008992,299,0.5088276863098145,False
5,26,0,0.030316671600159554,471,2.452920913696289,False
6,25,0,0.02794788286273712,395,1.859464168548584,False
7,23,0,0.01677941177066148,318,0.9002554416656494,False
8,26,0,0.019128064742347125,359,1.378216028213501,False
9,25,0,0.01659957035515584,342,1.157571792602539,False
10,25,0,0.021377653627298644,376,1.3953619003295898,False
11,24,0,0.01897829922172627,240,0.020625829696655273,False
12,21,0,0.01921681893783142,344,0.9527719020843506,False
13,27,0,0.012337482866749468,207,0.013020515441894531,False
14,27,0,0.017891184458730534,313,0.8446700572967529,False
15,23,0,0.02045929091828185,382,1.5329205989837646,False
16,29,0,0.01585684402951468,283,0.524613618850708,False
17,20,0,0.012640219047792191,237,0.014639139175415039,False
18,26,0,0.015638404284626768,295,0.6789636611938477,False
19,29,0,0.026059701161677197,231,0.013573884963989258,False
