episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,40,0,0.016353270236442834,283,0.35231876373291016,False
1,40,0,0.016197123888224814,270,0.26162266731262207,False
2,38,0,0.02281631774944034,270,0.2984280586242676,False
3,44,0,0.017722704379931623,277,0.33350276947021484,False
4,39,0,0.019872206579553405,401,1.2221806049346924,False
5,39,0,0.017912846514195998,345,0.807187557220459,False
6,46,0,0.019437039216945198,353,1.0488965511322021,False
7,41,0,0.018324220878015867,306,0.7490057945251465,False
8,38,0,0.018835249745816494,324,1.0390334129333496,False
9,48,0,0.01222184288750948,201,0.03076934814453125,False
10,34,0,0.02045391771955866,391,1.7632062435150146,False
11,43,0,0.02239733195327912,395,1.689648151397705,False
12,37,0,0.02365162888504644,257,0.21599936485290527,False
13,43,0,0.024014926075336014,397,1.6930248737335205,False
14,45,0,0.015455677749384908,251,0.1300036907196045,False
15,45,0,0.012930997760033047,196,0.029648542404174805,False
16,41,0,0.024053546367994033,257,0.22461962699890137,False
17,37,0,0.017583355675546267,381,1.4535813331604004,False
18,41,0,0.017141623375906342,301,0.7220144271850586,False
19,45,0,0.019400043007376473,391,1.7432901859283447,False
20,38,0,0.013733980317932656,266,0.30309033393859863,False
21,41,0,0.029280910519297695,463,2.5400686264038086,False
22,48,0,0.03322206641536081,292,0.5415804386138916,False
23,40,0,0.01920506591584622,393,1.5709474086761475,False
24,35,0,0.01929338032024921,254,0.1644909381866455,False
25,36,0,0.01863832049932784,284,0.45072364807128906,False
26,38,0,0.017967836422979305,335,0.9902522563934326,False
27,36,0,0.01787239355787684,344,1.1110460758209229,False
28,47,0,0.01967753669624,306,0.8699648380279541,False
29,39,0,0.029982630681017752,319,0.7747960090637207,False
