episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,28,0,0.017426393450802467,344,0.016024351119995117,False
1,23,0,0.018058926859943796,336,0.01609945297241211,False
2,30,0,0.02452217860344364,487,0.023630857467651367,False
3,27,0,0.020629459099479223,373,0.01752924919128418,False
4,25,0,0.015096111038282636,276,0.013697624206542969,False
5,27,0,0.01696641709482364,488,0.0221102237701416,False
6,28,0,0.02127983948084063,301,0.015043973922729492,False
7,27,0,0.014473921335185777,270,0.012572765350341797,False
8,25,0,0.01564304508375532,238,0.011878728866577148,False
9,24,0,0.019736092547714166,404,0.019045591354370117,False
10,28,0,0.018743520367522012,243,0.012074708938598633,False
11,25,0,0.028947572665610523,329,0.015618562698364258,False
12,27,0,0.021540471136308935,216,0.010025262832641602,False
13,26,0,0.013311040953880623,229,0.010156869888305664,False
14,26,0,0.02415868147727137,322,0.015542984008789062,False
15,26,0,0.019875632564654303,421,0.019081592559814453,False
16,34,0,0.014733899415364226,202,0.009508132934570312,False
17,21,0,0.017288206748658573,282,0.012527704238891602,False
18,26,0,0.019953904413189016,317,0.014098882675170898,False
19,22,0,0.017213607258915933,280,0.012087106704711914,False
