episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,37,0,0.02114059677812823,265,0.01855635643005371,False
1,46,0,0.018346951955519296,370,0.025786876678466797,False
2,37,0,0.013565536062773076,220,0.01512002944946289,False
3,44,0,0.030864583595121526,402,0.027443885803222656,False
4,46,0,0.020594108724980777,379,0.026144027709960938,False
5,42,0,0.01764882587014337,298,0.02061748504638672,False
6,41,0,0.02373600875866947,477,0.03625965118408203,False
7,48,0,0.03248304876106724,311,0.022182703018188477,False
8,38,0,0.017826388983226516,395,0.02661418914794922,False
9,45,0,0.017612103285044967,266,0.01808929443359375,False
10,40,0,0.021529797989418377,255,0.0181429386138916,False
11,46,0,0.019393325842014555,283,0.018951416015625,False
12,42,0,0.031206386850454355,350,0.024393320083618164,False
13,46,0,0.01975512160153403,348,0.02334141731262207,False
14,47,0,0.031559097904676384,352,0.024154186248779297,False
15,37,0,0.019487010109480115,388,0.02935338020324707,False
16,37,0,0.02798351101271859,333,0.024144887924194336,False
17,38,0,0.018514646219297087,325,0.024363994598388672,False
18,38,0,0.019979470309511367,483,0.034364938735961914,False
19,36,0,0.025758042949212065,298,0.021175861358642578,False
20,38,0,0.019102271822221722,339,0.02471637725830078,False
21,36,0,0.027201676521119343,440,0.03396797180175781,False
22,41,0,0.014083521473106002,230,0.01719045639038086,False
23,41,0,0.01607276008006191,259,0.019133806228637695,False
24,38,0,0.016180000759405316,267,0.02284383773803711,False
25,35,0,0.0165086596021888,308,0.02447962760925293,False
26,38,0,0.02346579098693422,361,0.028820037841796875,False
27,37,0,0.01797360760451062,290,0.02286815643310547,False
28,40,0,0.014434988323592208,221,0.01676774024963379,False
29,42,0,0.02813664684177722,352,0.027288436889648438,False
