episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,46,0,0.016127661383908396,253,0.018540143966674805,False
1,40,0,0.021866209987185137,293,0.02053976058959961,False
2,36,0,0.025818838638524404,349,0.02367234230041504,False
3,41,0,0.023811194081279286,268,0.017580509185791016,False
4,35,0,0.026199223345602547,361,0.02358841896057129,False
5,44,0,0.019054312908256314,336,0.02303791046142578,False
6,35,0,0.017390882467871013,284,0.018042564392089844,False
7,37,0,0.021664582918791524,270,0.01752328872680664,False
8,40,0,0.027699261588866746,319,0.022026777267456055,False
9,47,0,0.019955806520150637,369,0.02612590789794922,False
10,36,0,0.01811276081095887,406,0.027059078216552734,False
11,42,0,0.029561930000719015,362,0.02356863021850586,False
12,33,0,0.0171394221517535,329,0.02205038070678711,False
13,41,0,0.01722797052780584,304,0.02069544792175293,False
14,38,0,0.017279783632225473,501,0.034366607666015625,False
15,40,0,0.017700542237807905,372,0.025089025497436523,False
16,38,0,0.02131601042830174,402,0.028041601181030273,False
17,40,0,0.019538489369973523,259,0.01759195327758789,False
18,42,0,0.01873973647319767,494,0.03255605697631836,False
19,42,0,0.018172388808130182,297,0.019581079483032227,False
20,42,0,0.02926408003693831,343,0.023050308227539062,False
21,40,0,0.01788646333392548,348,0.02355337142944336,False
22,43,0,0.020597913649722615,347,0.023562908172607422,False
23,37,0,0.018425619595079785,302,0.02057170867919922,False
24,44,0,0.02838559613280881,353,0.024089574813842773,False
25,44,0,0.014156137688191706,231,0.015542268753051758,False
26,44,0,0.01860003838959333,402,0.026630878448486328,False
27,40,0,0.0164943796527246,291,0.019093990325927734,False
28,43,0,0.03219040969268883,310,0.02054619789123535,False
29,39,0,0.013346425702077662,208,0.01452326774597168,False
