episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,45,0,0.02121357477783565,313,0.6219208240509033,False
1,42,0,0.022815744647149732,281,0.3951425552368164,False
2,38,0,0.01581269625114322,376,0.9902918338775635,False
3,41,0,0.014655650022781765,216,0.03516721725463867,False
4,41,0,0.02284862793169562,358,0.7870454788208008,False
5,44,0,0.020371855846203435,296,0.5353817939758301,False
6,35,0,0.021885691162564034,364,1.0164217948913574,False
7,36,0,0.015916648392597613,315,0.5448718070983887,False
8,40,0,0.025077332045848534,295,0.4064366817474365,False
9,39,0,0.02085457683420876,356,1.1415011882781982,False
10,42,0,0.017879552282591193,287,0.41306042671203613,False
11,38,0,0.02701383419727147,356,0.7827658653259277,False
12,33,0,0.02641709225309558,419,1.2198567390441895,False
13,42,0,0.018395753246687935,380,1.1525447368621826,False
14,35,0,0.017102903068228797,347,0.843193531036377,False
15,39,0,0.026541056183244413,356,0.9142131805419922,False
16,44,0,0.01603964270622541,306,0.4696805477142334,False
17,38,0,0.02086395774128522,384,1.0502195358276367,False
18,42,0,0.0309007025862554,361,1.0518815517425537,False
19,39,0,0.013314327696179996,243,0.07001399993896484,False
20,39,0,0.01954107125739343,291,0.4061756134033203,False
21,45,0,0.03087595705801129,323,0.6375527381896973,False
22,40,0,0.02435396525987901,273,0.2627418041229248,False
23,38,0,0.015001159540752962,307,0.583850622177124,False
24,41,0,0.022081470962501088,320,0.6443996429443359,False
25,40,0,0.02115058422173268,454,1.6430160999298096,False
26,39,0,0.01526887471930511,289,0.4056589603424072,False
27,40,0,0.016536296393066263,363,0.883617639541626,False
28,37,0,0.027458522462319314,327,0.6868224143981934,False
29,40,0,0.01725092625588368,296,0.5511593818664551,False
