episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,27,0,0.020710510099151674,348,1.0054728984832764,False
1,32,0,0.014605053637399668,194,0.014533758163452148,False
2,26,0,0.03266303859938367,452,2.2371103763580322,False
3,25,0,0.026472277020898688,267,0.31670451164245605,False
4,25,0,0.0167922038467806,267,0.32747936248779297,False
5,25,0,0.015690844675657036,322,0.7637755870819092,False
6,30,0,0.029430260760472032,313,0.8347160816192627,False
7,25,0,0.022014085943914487,301,0.5948624610900879,False
8,28,0,0.014637352820982599,236,0.019038915634155273,False
9,27,0,0.014026466348584562,278,0.45842790603637695,False
10,24,0,0.024076559806782208,313,0.8250176906585693,False
11,28,0,0.0165546136887934,365,1.4951505661010742,False
12,25,0,0.016917705634145054,393,1.391298770904541,False
13,29,0,0.019195488066492288,256,0.1364116668701172,False
14,26,0,0.020883887562289018,274,0.3903191089630127,False
15,24,0,0.027238953675303906,317,0.8269083499908447,False
16,24,0,0.022676405178194383,385,1.4876258373260498,False
17,24,0,0.020379100663308482,281,0.4565143585205078,False
18,30,0,0.01449875878761544,230,0.018853187561035156,False
19,28,0,0.017636862029088003,217,0.01807403564453125,False
