episode_id,interventions,freeze_events,stability_score,episode_length,episode_time,success
0,23,0,0.016534429317338582,336,1.0253238677978516,False
1,25,0,0.028555191014752037,398,1.3280508518218994,False
2,28,0,0.012928645914977874,242,0.04026341438293457,False
3,23,0,0.017214950747629618,350,0.9893460273742676,False
4,28,0,0.020451915822122576,317,0.6973507404327393,False
5,23,0,0.023681755989655343,318,0.7578058242797852,False
6,25,0,0.01662576126745037,379,1.2960708141326904,False
7,20,0,0.014328738883517631,202,0.016105175018310547,False
8,21,0,0.010660904168253342,216,0.017105579376220703,False
9,24,0,0.01723820433862045,463,2.1670165061950684,False
10,28,0,0.018381516330983987,374,1.37632155418396,False
11,27,0,0.016988407502222365,425,1.6310572624206543,False
12,24,0,0.02390995988995019,301,0.6495287418365479,False
13,26,0,0.01253315045068441,237,0.01604151725769043,False
14,24,0,0.013703448801586738,269,0.40772485733032227,False
15,25,0,0.013813922499907452,285,0.6821274757385254,False
16,26,0,0.016048677339101283,266,0.2798881530761719,False
17,22,0,0.014853684830483504,302,0.6668758392333984,False
18,25,0,0.020476096697285704,288,0.5761926174163818,False
19,25,0,0.015073100636410031,331,0.845198392868042,False
